주문일자,상품코드,상품명,수량,판매가,할인액,결제수단
2026-06-11,NR-PA-030,펩타이드 앰플,2,"₩48,600",0,카드
2026-06-16,NR-VT-200,비타민 브라이트 토너,2,"₩30,800",0,카드
2026-06-03,NR-EG-050,EGF 리페어 세럼,1,39400,0,간편결제
2026-06-01,NR-VT-200,비타민 브라이트 토너,1,15400,0,카드
2026-06-02,NR-EG-050,EGF 리페어 세럼,2,78800,"11,820",무통장
2026-06-26,NR-CM-100,콜라겐 래핑 마스크,1,13700,"1,370",카드
,,,,,,
2026-06-30,NR-RE-020,리페어 아이크림,1,24200,2420,무통장
2026-06-12,NR-PA-030,펩타이드 앰플,1,"₩24,300",0,무통장
2026-06-18,NR-EG-050,EGF 리페어 세럼,1,39400,0,카드
2026-06-09,NR-EG-050,EGF 리페어 세럼,1,39400,0,카드
2026-06-15,NR-SC-050,데일리 선크림 SPF50,1,18900,0,카드
2026-06-13,NR-RE-020,리페어 아이크림,1,24200,"3,630",간편결제
2026-06-29,NR-PA-030,펩타이드 앰플,1,"₩24,300","3,645",간편결제
2026-06-28,NR-VT-200,비타민 브라이트 토너,1,15400,0,무통장
2026-06-07,NR-CM-100,콜라겐 래핑 마스크,2,"₩27,400",0,무통장
2026-06-22,NR-RE-020,리페어 아이크림,2,"₩48,400",0,간편결제
2026-06-05,NR-CO-150,딥 클렌징 오일,1,14600,2190,카드
2026-06-01,NR-PA-030,펩타이드 앰플,1,"₩24,300",3645,간편결제
2026-06-23,NR-PA-030,펩타이드 앰플,1,"₩24,300",2430,간편결제
2026-06-27,NR-PA-030,펩타이드 앰플,2,48600,0,간편결제
2026-06-12,NR-CM-100,콜라겐 래핑 마스크,2,"₩27,400",0,카드
2026-06-06,NR-CM-100,콜라겐 래핑 마스크,1,"₩13,700",0,카드
2026-06-10,NR-CM-100,콜라겐 래핑 마스크,1,"₩13,700",0,무통장
2026-06-17,NR-EG-050,EGF 리페어 세럼,2,"₩78,800",0,카드
2026-06-22,NR-PA-030,펩타이드 앰플,2,"₩48,600",0,간편결제
2026-06-02,NR-CM-100,콜라겐 래핑 마스크,1,13700,"1,370",간편결제
2026-06-07,NR-CO-150,딥 클렌징 오일,1,14600,0,카드
2026-06-05,NR-VT-200,비타민 브라이트 토너,1,"₩15,400",1540,무통장
2026-06-09,NR-RE-020,리페어 아이크림,1,24200,2420,무통장
2026-06-12,NR-CC-075,시카 진정 크림,3,"₩53,700",0,간편결제
2026-06-11,NR-PA-030,펩타이드 앰플,2,48600,0,카드
2026-06-26,NR-EG-050,EGF 리페어 세럼,1,39400,"3,940",무통장
2026-06-07,NR-EG-050,EGF 리페어 세럼,2,78800,7880,무통장
2026-06-17,NR-CC-075,시카 진정 크림,3,53700,0,무통장
2026-06-11,NR-CC-075,시카 진정 크림,3,53700,8055,카드
2026-06-20,NR-RE-020,리페어 아이크림,2,"₩48,400",7260,무통장
2026-06-08,NR-CM-100,콜라겐 래핑 마스크,3,"₩41,100",4110,간편결제
,,,,,,
2026-06-07,NR-EG-050,EGF 리페어 세럼,1,39400,0,무통장
2026-06-09,NR-RE-020,리페어 아이크림,1,"₩24,200",3630,간편결제
2026-06-25,NR-PA-030,펩타이드 앰플,2,48600,0,간편결제
2026-06-14,NR-SC-050,데일리　선크림　SPF50,1,18900,0,카드
2026-06-11,NR-VT-200,비타민 브라이트 토너,2,"₩30,800",0,간편결제
2026-06-30,NR-CO-150,딥 클렌징 오일,1,14600,0,카드
2026-06-07,NR-PA-030,펩타이드 앰플,1,24300,0,무통장
2026-06-29,NR-SC-050,데일리 선크림 SPF50,3,"₩56,700",0,무통장
2026-06-19,NR-CC-075,시카 진정 크림,1,"₩17,900",0,간편결제
2026-06-04,NR-PA-030,펩타이드 앰플,3,"₩72,900",0,카드
2026-06-02,NR-PA-030,펩타이드 앰플,1,24300,2430,간편결제
2026-06-26,NR-SC-050,데일리 선크림 SPF50,1,"₩18,900",2835,카드
2026-06-11,NR-CO-150,딥 클렌징 오일,1,"₩14,600",1460,카드
2026-06-28,NR-CM-100,콜라겐 래핑 마스크,1,13700,2055,카드
2026-06-16,NR-EG-050,EGF 리페어 세럼,3,118200,"17,730",간편결제
2026-06-18,NR-VT-200,비타민 브라이트 토너,2,30800,0,카드
,,,,,,
2026-06-12,NR-CO-150,딥 클렌징 오일,1,"₩14,600",1460,카드
2026-06-07,NR-CM-100,콜라겐 래핑 마스크,2,"₩27,400",2740,무통장
2026-06-10,NR-CM-100,콜라겐 래핑 마스크,1,13700,0,카드
2026-06-04,NR-CO-150,딥 클렌징 오일,2,"₩29,200",0,무통장
2026-06-26,NR-SC-050,데일리　선크림　SPF50,2,37800,0,카드
2026-06-19,NR-EG-050,EGF 리페어 세럼,1,39400,"3,940",무통장
2026-06-22,NR-RE-020,리페어 아이크림,2,48400,0,간편결제
2026-06-10,NR-CM-100,콜라겐 래핑 마스크,2,27400,2740,카드
2026-06-14,NR-CM-100,콜라겐 래핑 마스크,1,13700,0,간편결제
2026-06-12,NR-VT-200,비타민　브라이트　토너,1,15400,1540,무통장
2026-06-09,NR-SC-050,데일리 선크림 SPF50,1,18900,0,간편결제
2026-06-01,NR-VT-200,비타민 브라이트 토너,1,15400,0,카드
2026-06-04,NR-CC-075,시카 진정 크림,1,17900,0,무통장
2026-06-14,NR-CC-075,시카 진정 크림,3,"₩53,700",5370,카드
2026-06-14,NR-SC-050,데일리 선크림 SPF50,1,18900,"2,835",카드
2026-06-24,NR-CO-150,딥 클렌징 오일,2,"₩29,200","2,920",무통장
2026-06-25,NR-CM-100,콜라겐 래핑 마스크,3,"₩41,100",0,카드
