정산일,옵션ID,노출상품명,판매수량,판매금액,서비스이용료,실지급액
2026/06/14,87123403,EGF 리페어 세럼,1,39400,4688,34712
2026/06/27,87123402,펩타이드 앰플,2,48600,5783,42817
2026/06/20,87123401,콜라겐 래핑 마스크,1,13700,1630,12070
2026/06/21,87123405,비타민 브라이트 토너,3,46200,5497,40703
2026/06/18,87123408,데일리 선크림 SPF50,2,37800,4498,33302
2026/06/11,87123406,리페어 아이크림,3,72600,8639,63961
2026/06/05,87123404,시카 진정 크림,1,17900,2130,15770
2026/06/14,87123407,딥 클렌징 오일,1,14600,1737,12863
2026/06/17,87123406,리페어 아이크림,1,24200,2879,21321
2026/06/13,87123405,비타민 브라이트 토너,1,15400,1832,13568
2026/06/30,87123405,비타민 브라이트 토너,1,15400,1832,13568
2026/06/23,87123403,EGF 리페어 세럼,2,78800,9377,69423
2026/06/07,87123401,콜라겐 래핑 마스크,2,27400,3260,24140
2026/06/22,87123404,시카 진정 크림,2,35800,4260,31540
2026/07/01,87123404,시카 진정 크림,-1,-17900,-2130,-15770
2026/06/21,87123407,딥 클렌징 오일,2,29200,3474,25726
2026/06/30,87123407,딥 클렌징 오일,-1,-14600,-1737,-12863
2026/06/11,87123404,시카 진정 크림,1,17900,2130,15770
2026/06/30,87123405,비타민 브라이트 토너,2,30800,3665,27135
2026/06/16,87123405,비타민 브라이트 토너,1,15400,1832,13568
2026/06/27,87123401,콜라겐 래핑 마스크,3,41100,4890,36210
2026/06/28,87123402,펩타이드 앰플,2,48600,5783,42817
2026/06/13,87123408,데일리 선크림 SPF50,1,18900,2249,16651
2026/06/04,87123406,리페어 아이크림,1,24200,2879,21321
2026/06/06,87123402,펩타이드 앰플,1,24300,2891,21409
2026/06/21,87123402,펩타이드 앰플,3,72900,8675,64225
2026/06/29,87123405,비타민 브라이트 토너,1,15400,1832,13568
2026/06/26,87123405,비타민 브라이트 토너,1,15400,1832,13568
2026/06/28,87123408,데일리 선크림 SPF50,1,18900,2249,16651
2026/06/30,87123408,데일리 선크림 SPF50,3,56700,6747,49953
2026/06/30,87123402,펩타이드 앰플,3,72900,8675,64225
2026/06/26,87123408,데일리 선크림 SPF50,1,18900,2249,16651
2026/06/27,87123402,펩타이드 앰플,2,48600,5783,42817
2026/06/30,87123406,리페어 아이크림,1,24200,2879,21321
2026/06/26,87123402,펩타이드 앰플,1,24300,2891,21409
2026/06/05,87123401,콜라겐 래핑 마스크,2,27400,3260,24140
2026/06/15,87123407,딥 클렌징 오일,1,14600,1737,12863
2026/06/23,87123404,시카 진정 크림,1,17900,2130,15770
2026/06/08,87123408,데일리 선크림 SPF50,1,18900,2249,16651
2026/06/28,87123402,펩타이드 앰플,2,48600,5783,42817
2026/06/20,87123406,리페어 아이크림,1,24200,2879,21321
2026/06/29,87123401,콜라겐 래핑 마스크,1,13700,1630,12070
2026/06/10,87123404,시카 진정 크림,1,17900,2130,15770
2026/06/22,87123403,EGF 리페어 세럼,2,78800,9377,69423
2026/06/19,87123404,시카 진정 크림,1,17900,2130,15770
2026/06/28,87123402,펩타이드 앰플,1,24300,2891,21409
2026/06/15,87123402,펩타이드 앰플,1,24300,2891,21409
2026/06/23,87123406,리페어 아이크림,1,24200,2879,21321
2026/06/26,87123406,리페어 아이크림,-1,-24200,-2879,-21321
2026/06/23,87123407,딥 클렌징 오일,1,14600,1737,12863
2026/06/09,87123406,리페어 아이크림,1,24200,2879,21321
2026/06/27,87123403,EGF 리페어 세럼,1,39400,4688,34712
2026/06/08,87123408,데일리 선크림 SPF50,2,37800,4498,33302
2026/06/05,87123407,딥 클렌징 오일,2,29200,3474,25726
2026/06/20,87123407,딥 클렌징 오일,1,14600,1737,12863
2026/06/27,87123407,딥 클렌징 오일,-1,-14600,-1737,-12863
2026/06/25,87123408,데일리 선크림 SPF50,2,37800,4498,33302
2026/06/26,87123403,EGF 리페어 세럼,1,39400,4688,34712
2026/06/02,87123401,콜라겐 래핑 마스크,1,13700,1630,12070
2026/06/29,87123406,리페어 아이크림,1,24200,2879,21321
2026/06/11,87123405,비타민 브라이트 토너,2,30800,3665,27135
2026/06/27,87123404,시카 진정 크림,3,53700,6390,47310
2026/06/13,87123405,비타민 브라이트 토너,1,15400,1832,13568
2026/06/25,87123401,콜라겐 래핑 마스크,3,41100,4890,36210
2026/06/21,87123404,시카 진정 크림,2,35800,4260,31540
2026/06/07,87123405,비타민 브라이트 토너,1,15400,1832,13568
2026/06/12,87123402,펩타이드 앰플,3,72900,8675,64225
2026/06/26,87123407,딥 클렌징 오일,1,14600,1737,12863
2026/06/05,87123405,비타민 브라이트 토너,2,30800,3665,27135
2026/06/06,87123406,리페어 아이크림,3,72600,8639,63961
2026/06/21,87123407,딥 클렌징 오일,3,43800,5212,38588
2026/06/04,87123406,리페어 아이크림,2,48400,5759,42641
2026/06/19,87123407,딥 클렌징 오일,3,43800,5212,38588
2026/06/24,87123406,리페어 아이크림,2,48400,5759,42641
2026/06/15,87123404,시카 진정 크림,1,17900,2130,15770
2026/06/13,87123406,리페어 아이크림,1,24200,2879,21321
2026/06/20,87123407,딥 클렌징 오일,2,29200,3474,25726
2026/06/05,87123404,시카 진정 크림,3,53700,6390,47310
2026/06/13,87123404,시카 진정 크림,2,35800,4260,31540
2026/06/14,87123405,비타민 브라이트 토너,1,15400,1832,13568
2026/06/01,87123401,콜라겐 래핑 마스크,1,13700,1630,12070
2026/06/17,87123402,펩타이드 앰플,2,48600,5783,42817
2026/06/13,87123404,시카 진정 크림,2,35800,4260,31540
2026/06/04,87123408,데일리 선크림 SPF50,1,18900,2249,16651
2026/06/17,87199001,[단독] 누리에 마스크 10매,1,27000,2916,24084
2026/06/29,87199002,누리에 선크림 2개 묶음,1,18000,1944,16056
2026/06/02,87199003,누리에 토너 리필형,1,16000,1728,14272
